title,tag,artist,year,lyrics,views,rank
Phantom Pain,rock,Beartooth,2021,"[Verse 1]
Struck up a deal with the reaper
Had all my prior transgressions absolved
I’ve been dosed with the æther
Nobody cares when you’re all alone
Still looking for the bright side
I’m in love with the dark side
Still dead on the inside
I look dead on the outside

[Pre-Chorus]
I shook hands with the devil himself
Just tell me why

[Chorus]
I'm so desperate for the answers that you know
'Cause I'm not finding any help when I'm alone
Are we bettеr off as friends?
Just stop the punishment
Burn mе till the phantom pain is gone (Phantom pain is gone)
[Verse 2]
Struck up a deal with the reaper
He said ""Now, your body is mine""
Said I was a keeper
Stay twisted up in my mind
Fresh blood on my hands
Fresh wound in my soul
You're mine in the end
I can't let you go

[Pre-Chorus]
You might have a chance in Hell
Just tell me why

[Chorus]
I'm so desperate for the answers that you know
'Cause I'm not finding any help when I'm alone
Oh, we're better off as friends
Just stop the punishment
Burn me till the phantom pain is gone (Phantom pain is gone)

[Breakdown]
I'll keep running away
I'll keep running away

[Pre-Chorus]
I shook hands with the devil himself
Just tell me why
[Chorus]
I'm so desperate for the answers that you know
'Cause I'm not finding any help when I'm alone
Oh, we're better off as friends
Just stop the punishment
Burn me till the phantom pain is gone (Phantom pain is gone)

[Outro]
Phantom pain is gone
Time opens all wounds
Time opens all wounds
Time opens all wounds
Time opens all wounds",3998,54067
Candour,rock,Neck Deep,2014,"[Verse 1: Ben Barlow]
Yesterday saw you missing
Drawn to the light in the distance
Holding her hand while she listened
She told him how much she would miss him
Said his goodbyes to his children
And let the weight fade away

[Verse 2: Ben Barlow & Laura Whiteside (together)]
I have your hands
But I have my mother's eyes
Your tact and poise
And her sense of wrong and right
Heard you awake in the middle of the night
Letting go of the things you keep inside

[Verse 3: Ben Barlow]
Worked your fingers to the bone
To be sent home with a cardboard box
Filled with everything you've known
All things come to be loved and lost
[Verse 4: Ben Barlow & Laura Whiteside (together)]
I'll keep a moment sealed in time inside a picture frame
A small reminder of the days I thought would never change
They always say it's clear to see
How parts of you shine through in me
I think you know, you won't be here forever
And you're counting down the days
'Til you can rest your tired eyes and let it slip away

[Verse 5: Ben Barlow]
The lessons learned at your side
Will stay with me all my life
The man I hope to become, I know is deep down inside
I know, you don't even need to say
I know you're proud in your own way
I know you're proud in your own way

[Outro: Ben Barlow & Laura Whiteside (together)]
And you watched me grow up
As I watched you grow older
The chip off your block, held me up on your shoulders
I wish I told you yesterday

[Instrumental Outro]",40064,7169
Earthquake,rock,Deerhunter,2010,"Do you recall
Waking up on
A dirty couch
In the gray fog?
And the gray dog
Barking down the street?

Columns shake your feet
Beneath your feet
Beneath your feet
Beneath your feet

Do you recall -
Your face was white as all?
Do you bone the sheets?
Do you think of me?
Your long lost friend from the sea

How long with heat?
How long was He?
How long was He?
How long was He?
How long was He?
How long with heat?
How long was He?",8680,29619
Worry,rock,The Wombats,2022,"[Intro]
Um, I worry, uh
I'm pretty much worried about everything really
I worry that I'm worrying so much maybe I'm gonna, you know, have some kind of pattern

[Refrain]
Too much, too much, I worry
I worry too much
Too much, too much, I worry
I worry too much

[Verse 1]
Multiples of three keep me warm, keep me stable
Six candles on a wall with just one lit
Flick a switch, lick a key, paint a chair on a table
Superstition's a wasp at your picnic

[Pre-Chorus]
I'll say it again but without feeling
I'll get what I think if I keep on thinking
'Bout all the other lovers that fell down the stairs
It's not paranoia if it's really there
[Chorus]
It's not, it's not, it's not paranoia if it's really there
It's not, it's not, it's not paranoia if it's really there

[Post-Chorus]
Too much, too much, I worry
I worry too much
Too much, too much, I worry
I worry too much

[Verse 2]
Bang my head on a wall that I built in the future
I let the smallest of things ruin the day
I'm the voicemail that you coulda, shoulda chеcked sooner
I'm the only obstruction in thе way

[Pre-Chorus]
I'll say it again but without feeling
I'll get what I think if I keep on thinking
'Bout all the other lovers that fell down the stairs
It's not paranoia if it's really there

[Chorus]
It's not, it's not, it's not paranoia if it's really there
It's not, it's not, it's not paranoia if it's really there
It's not, it's not, it's not paranoia if it's really there
It's not, it's not, it's not paranoia if it's really there
It's not, it's not, it's not paranoia if it's really there
It's not, it's not, it's not paranoia if it's really there
[Post-Chorus]
Too much, too much, I worry
I worry too much
Too much, too much, I worry
I worry too much",1542,101426
Give My Heart a Little Break,rock,Summer Salt,2014,"[Verse 1]
Give my heart a little break
Give up the life I’ve always known
Give the sun a hiding place
Behind the ocean, we’ll see it when I’m home

[Pre-Chorus]
It’s been awhile since I’ve felt this way before
I’ll be alright, someday I’ll soon drift ashore

[Chorus]
Well I (la, la, la, la) believe (la, la, la, la) in this heart of mine (heart of mine)
But I’m (la, la, la, la) not so sure (la, la, la, la) I’ll find my way this time (way this time)
Ooh

[Verse 2]
Give my heart a little break
Get out alive somewhere on the end
Dawn it breaks to find me wide awake
Patch the night take to the sky
Yeah!
[Pre-Chorus]
It’s been awhile, well I’m back to my old self again
I’ll be alright, all the troubles I find myself in

[Chorus]
Well I (la, la, la, la) believe (la, la, la, la) in this heart of mine (heart of mine)
And I (la, la, la, la) trust that things (la, la, la, la) will turn out to be just fine (be just fine)
Ooh",13398,20442
This December,rock,Ricky Montgomery,2016,"[Intro]
Only in my darkest moments can I see the light
I think I'm prone to getting blinded when it's bright
Well, this December, I'll remember
Want you to see it when I do, Ooh
God knows I do

[Verse 1]
Only in my darkest moments can I see the light
I think I’m prone to getting blinded when it’s bright
Well, this December, I’ll remember
Want you to see it when I do, Ooh
God knows I do

[Chorus]
I’m alright if you’re alright
And I’m okay if you’re okay
It’s this state in this state I’m living in
It’s just a little bit, it’s just a little bit
Lonely in this home, It’s always colder on your own
My darlin’, I, I let the season change my mind, Hey!
[Verse 2]
Only in my darkest moments
I wanna see you with your head wide open
Empty in the ground, gone without a sound
Just another white elm growing at the end of town
Well, this December, I’ll remember
Want you to see it when I do, Ooh
God knows I do

[Chorus]
I’m alright if you’re alright
And I’m okay if you’re okay
It’s this state in this state I’m living in
It’s just a little bit, it’s just a little bit
Lonely in this home, It’s always colder on your own
My darlin’, I, I let the season change my mind

[Outro]
I’m alright if you’re alright
I’m okay if you’re okay
It’s this state in this state I’m living in
It’s just a little bit, It’s just a bit and maybe
This December, I’ll remember
Want you to see it when I do, Ooh
God knows I do",98989,2663
Fire in the Hole,rock,Steely Dan,1972,"[Verse 1]
I decline to walk the line
They tell me that I'm lazy
Worldly wise, I realize
That everybody's crazy
A woman's voice reminds me
To serve and not to speak
Am I myself or just another freak?

[Chorus]
You know there's fire in the hole
And nothing left to burn
I'd love to run out now
There's nowhere left to turn, no no

[Verse 2]
With a cough, I shake it off
And work around my yellow stripe
Should I hide or eat my pride?
Or wait until it's good and ripe?
My life is boiling over
It's happened once before
I wish someone would open up the door
[Chorus]
Don't you know there's fire in the hole
And nothing left to burn
I'd love to run out now
There's nowhere left to turn

[Instrumental Break]

[Chorus]
Don't you know
There's fire in the hole
And nothing left to burn
I'd love to run out now
There's nowhere left to turn

[Outro]
Yeah
By-by-by-by-by",13452,20372
Day Of The Dead,rock,Misfits,1997,"[Verse]
Hell is full time is empty
Human flesh feeding frenzy
Woah-oh! Here comes the dead
Open graves, ghouls a plenty
Zombie army machine is ready
Woah-oh! Here comes the dead

[Chorus]
When the dead come arising
You see their eyes you're hypnotized and
They eat your guts out
And now you're the Living Dead
When the dead come arising
You see their eyes you're hypnotized and
They eat your guts out
And now you're the Living Dead

[Post-Chorus]
Woah, oh oh here comes the dead
Woah, oh oh here comes the dead
Woah, oh oh here comes the dead
Woah, oh oh here comes the dead
Here comes the dead
Here comes the dead
Here comes the dead
Here comes the dead
[Outro]
Here comes
Here comes
The dead",1382,108152
City Lights,rock,The White Stripes,2016,"[Verse 1]
I want to grab a stranger’s hand and
Hold it as tightly as I can and
I will tell by their reaction if
They’re like me or if I am crazy
When the lights of the city hit my
Eyes on the plane looking out the window
I am consumed by a comforting notion
That you are there and
I am welcome
If our miles have added up to
A giant pile of distance that we
Cannot reach past, climb, or conquer
Will you dig a
Tunnel to me?

[Interlude]

[Verse 2]
Every move suspends an action
Any attempt to engage will push away
What you want becomes a magnet
Opposing poles
Never meeting
Can you combine a friend and mother?
Can you blend a dad and brother?
Must we have to pick one or the other?
Will we know this or always wonder?
(Always wonder)
You can tell what you’ve done to me
To be seen in hell from your place in a tree
Always helping
Ever loving
But will you always
Be above me
[Interlude]

[Verse 3]
I won’t ignore nor will not forget
The kindness that’s been done to me
You are the surest and safest bet that
I could ask for
So I’m asking
Soon we will be side by side the
Plane will land and the wings will glide
The bags in hand and
The car will drive
Into you
I will arrive
By your side
By your side",18523,15316
Warrior,rock,Disturbed,2010,"[Verse 1]
I am now an instrument of violence
I am a vessel of invincibility
I cannot leave this undecided
Stepping down to battle another day
Remember me for all time, this
Determination is a vital part of me
Surrender now, or be counted
With the endless masses that I will defeat

[Pre-Chorus]
Come on, bring it
Don't sing it
Better believe it
Broken down till your hope has died
Beat down till the victory's mine
Stand up and show me some pride
And now, are you ready?

[Chorus]
I'm one with the warrior inside
My dominance can't be denied
Your entire world will turn
Into a battlefield tonight
As I look upon you
Through the warrior's eyes now
I can see the fear that will
Ensure my victory this time
[Verse 2]
I can't be told to compromise this
They'll never doubt the body lying at my feet
A most formidable reminder
They will speak my name for eternity
I have no need of any guidance
I am a weapon, powerful beyond belief
Seen through the warrior's eyes
I never need to question how to defeat you

[Pre-Chorus]
Come on, bring it
Don't sing it
Better believe it
Broken down till your hope has died
Beat down till the victory's mine
Stand up and show me some pride
And now, are you ready?

[Chorus]
I'm one with the warrior inside
My dominance can't be denied
Your entire world will turn
Into a battlefield tonight
As I look upon you
Through the warrior's eyes now
I can see the fear that will
Ensure my victory this time
[Bridge]
You can't hide now
I am the warrior
So decide now
How they’ll remember you
Do not hide now
Act like a warrior
Show your pride now
Solidify your place in time

[Chorus]
I'm one with the warrior inside
My dominance can't be denied
Your entire world will turn
Into a battlefield tonight
As I look upon you
Through the warrior's eyes now
I can see the fear that will
Ensure my victory this time

[Outro]
I'm one with the warrior inside
The evidence can't be denied
The entire world will stare
Into this battlefield tonight
As I stand before you
With a warrior's heart now
I can feel the strength that will
Ensure my victory this time",11425,23539
With a Shout Jerusalem,rock,U2,1981,"Oh, where do we go
Where do we go from here?
Where to go?
To the side of a hill
Blood was spilt
We were still looking at each other
But we're going back there?

Jerusalem
Jerusalem

Shout, shout, with a shout
Shout it out, shout
Shout it out

I want to go, to the foot of Mount Zion
To the foot of He who made me see
To the side of a hill blood was spilt
We were filled with a love
And we're going to be there again
Jerusalem
Jerusalem

Jerusalem
Jerusalem
Jerusalem
Jerusalem
Jerusalem

Shout, shout, with a shout
Shout, with a shout",1276,113199
Yes Im Changing,rock,Tame Impala,2015,"[Verse 1]
I was raging, it was late
In the world my demons cultivate
I felt the strangest emotion but it wasn't hate for once
Yes, I'm changing, yes, I'm gone
Yes, I'm older, yes, I'm moving on
And if you don't think it's a crime, you can come along with me
Life is moving, can't you see
There's no future left for you and me
I was hoping and I was searching endlessly
But baby, now there's nothing left that I can do

[Chorus]
So don't be blue
There is another future
Waiting there for you

[Verse 2]
I saw it different, I must admit
I caught a glimpse, I'm going after it
They say people never change but that's bullshit, they do
Yes, I'm changing, can't stop it now
And even if I wanted I wouldn't know how
Another version of myself I think I've found at last
And I can't always hide away
Curse indulgence and despise the fame
There is a world out there and it's calling my name
And it's calling yours, girl
[Refrain]
It's calling yours, too
It's calling yours, too
It's calling yours, too
It's calling yours, too

[Outro]
It's calling out for you
Arise and walk on through
(Time rolls on)
A world beyond that door is calling out for you
(Time rolls on)
Arise and walk on through
It's calling out for you
(Listen to it call)
Arise and walk, come through
A world beyond that door
(Listen to it call)
Is calling out for you",562069,202
Crying Game,rock,Bad Wolves,2019,"[Verse 1]
Sometimes denied feels like a hole in the sky
Cutting me down in my pride
You took my time, keep running your mouth on my dime
Crying 'cause you lost your free ride

[Pre-Chorus]
It's not you, it's all me
I let myself believe
Still you can't see
I see through all your schemes

[Chorus]
Every time I push you away
You come back
Back to me to place the blame
This crying game

[Verse 2]
Maybe you'll see not just me that you mislead
Focus on the things that you'll never be
No, no, no
And time, takes time
We'll run the clock for your crimes
The price is something that you could never pay
[Pre-Chorus]
It's not you, it's all me
I let myself believe
Still you can't see
I see through all your schemes

[Chorus]
Every time I push you away
You come back
Back to me to place the blame
This crying game

It's not you, it's on me
I won't stop for these dreams
Every time I push you away
You play this crying game

[Instrumental Break]

[Chorus]
Every time I push you away
You come back
Back to me to place the blame
This crying game

It's not you, it's on me
I won't stop for these dreams
Every time I push you away
You play this crying game
[Outro]
Sick of pretending that you're fine
No, no, no
That gun in your mouth just isn't mine
No, no, no
Sick of pretending that you're fine
No, no, no
That gun in your mouth just isn't mine",4210,52091
Erase/Rewind,rock,The Cardigans,1998,"[Intro]
Hmm-hmm
Hmm-hmm-hmm

[Verse 1]
Hey, what did you hear me say
You know the difference it makes
What did you hear me say

Yes, I said it's fine before
But I don't think so no more
I said it's fine before

[Pre-Chorus]
I've changed my mind
I take it back

[Chorus 1]
Erase and rewind
Cause I'll be changing my mind
Erase and rewind
Cause I'll be changing my mind
I've changed my mind
[Verse 2]
So where did you see me go?
It's not the right way, you know
Where did you see me go?

No, it's not that I don't know
I just don't want it to grow
It's not that I don't know

[Pre-Chorus]
I've changed my mind
I take it back

[Chorus 2]
Erase and rewind
Cause I'll be changing my mind
Erase and rewind
Cause I'll be changing my mind
Erase and rewind
Cause I'll be changing my mind
Erase and rewind
Cause I'll be changing my mind

[Outro]
Erase and rewind
Hmm-hmm
Erase and rewind
Hmm-hmm
I've changed my mind",18401,15395
The Dark Half,rock,Above the Broken,2012,"[Verse 1]
There is something that you're always running from
But you can't run from me
I am your conscience speaking and this is
What I see... I see the fear in your eyes
As you run & hide
Your body's going numb, you're slowly dying on the inside

This feeling haunts me everyday
The only thing to do is pray

No one can save me from myself or this hell I've created
I'm trapped in my mind, it's a prison cell
When did I become so jaded?

[Chorus]
Mirror, mirror on the wall
Is there any point at all?
The reflection that I see
Only shines to show me
Better days and better nights
And better times when I felt alive
The deception that I see
Has sadly taken over me
I cannot run, I cannot hide
I cannot find myself tonight
I know, I know
This isn't easy
When you let go, let go
The pain stops
Because I know it's hard to see now
But I promise, it'll be okay
I know, I know
This isn't easy
When you let go, let go
The pain stops
Because I know it's hard to see now
But I promise you that we can change

Yeah!

[Verse 2]
This all makes me sick to my stomach
Urgh!
You can't run from your past so give it up
I see the void inside my eyes, it's always calling
I hear the voice I try to hide, it's always calling
I can't always believe what's looking back at me
All these voices that I hear
Are they angels?
Are they demons?
Or the dark half that I fear?
[Chorus]

[Outro]
I thought I can make myself change
Just give you're worthless
No!
I'M NOT!
I CAN! x2

I CAN FIGHT THIS! x2",1942,88289
Noise In Your Head,rock,Bad Luck.,2015,"[Verse 1]
You'll figure it out
And know that you got time before you figure it out
Everything will be fine if you forget all about
The ones who don't know why you haven't seen them around
But you pass through their towns
I know you're sick of them now
Cause high school wasn't nice to you
And when you got out
The same jackasses followed you
And kicked you around
Some of them were your bosses too
The world's a small town
Just can't find your way out, I know

[Pre-Chorus]
They'll laugh at you, you can't be true
It's overwhelming to
Point that you don't know, if
You're still real, or how to feel
You're losing your appeal
What a poor performance now
[Chorus]
And shouldn't I know?
I was the one who carried the show
But I'm first to tell you now
They shouldn't care
About whoever's pulling your hair
And you'll make up that what you will
It's not my problem
It's not your problem if you want
You call the shots and they do not

[Verse 2]
Moving ahead
Sounds easier than it really is
Noise in your head is breaking up your sentences
You've already said enough to make them hate you
So now shoot from your hip
And don't stop 'til those motherfuckers
Are filled with lead
Of course, don't take that literal; I'm not Eminem
No, I can't go to court and they don't need to be dead
Instead, say ""fuck off kindly"", and get on with your shit
I mean, it's their life they're pissin' away

[Pre-Chorus]
It's funny how they sit around
Their longest fingers out
To point out how you waste life
Break them off, I'd rather not
I'm scared that if we touch
You'll wind up keeping me in line
[Chorus]
And shouldn't I know?
I was the one who carried the show
But I'm first to tell you now
That they shouldn't care
About whoever's pulling your hair
And you'll make of that what you will
It's not my problem
It's not your problem if you want
So say what you want, but
First, figure out what you should want
You call the shots and they do not",4915,46591
Janitor,rock,Suburban Lawns,1981,"[Verse]
All action is reaction
Expansion, contraction
Man the manipulator
Underwater, does it matter?
Antimatter, nuclear reactor
Boom boom boom boom

[Chorus]
Who's your mother? Who's your father?
I guess everything's irrelative
Who's your mother? Who's your father?
I guess everything's irrelative
I'm a janitor, oh my genitals
I'm a janitor, oh my genitals
Oh my genitals, I'm a janitor

[Verse]
All action is reaction
Expansion, contraction
Man the manipulator
Underwater, does it matter?
Antimatter, nuclear reactor
Boom boom boom boom
[Chorus]
Who's your mother? Who's your father?
I guess everything's irrelative
Who's your mother? Who's your father?
I guess everything's irrelative
I'm a janitor, oh my genitals
I'm a janitor, oh my genitals
Oh my genitals, I'm a janitor",20379,14006
Shakedown Street,rock,The Grateful Dead,1978,"[Verse 1]
You tell me this town ain't got no heart
(Well, well, well, you can never tell)
The sunny side of the street is dark
(Well, well, well, you can never tell)
Maybe that's because it's midnight
In the dark of the moon besides

[Pre-Chorus 1]
Maybe the dark is from your eyes
(Maybe the dark is from your eyes) [x3]
You know you got such dark eyes!

[Chorus]
Nothing shaking on Shakedown Street
Used to be the heart of town
Don't tell me this town ain't got no heart
You just got to poke around

[Verse 2]
You think you've seen this town clear through
(Well, well, well, you can never tell)
Nothing here that could interest you
(Well, well, well, you can never tell)
It's not because you missed out
On the thing that we had to start
[Pre-Chorus 2]
Maybe you had too much too fast
(Maybe you had too much too fast) [x3]
Or just over played your part

[Chorus]
Nothing shaking on Shakedown Street
Used to be the heart of town
Don't tell me this town ain't got no heart
You just got to poke around

[Verse 3]
Since I'm passing your way today
(Well, well, well, you can never tell)
I just stopped in because I want to say
(Well, well, well, you can never tell)
I recall your darkness
When it crackled like a thundercloud

[Pre-Chorus 3]
Don't tell me this town ain't got no heart
(Don't tell me this town ain't got no heart) [x3]
When I can hear it beat out loud!

[Repeat Chorus until fade]",20756,13753
You Keep Showing Up,rock,Drowners,2014,"You came along in the arms of another
I thought that I would pretend I wasn’t bothered
I’d make you believe
The solution was me
But it wasn’t

Still now I can’t quite remember
What I thought when we went home together
I was a different girl
I thought it was me
But it wasn’t

Before anything had happened
I was thinking that the end should be tragic
You keep showing up
In my friend’s photographs
I thought that I had had enough
But I obviously hadn’t

Troubled you as you want to let it linger
Just walk away and don’t even bother
To come back to me
Oh I’m trying to be clear
This thing wasn’t my idea
No shhh it wasn’t",1155,119831
The Years,rock,Crosses,2011,"[Verse 1]
As I sleep, I'm in your head
So watch you
With castles, I'm in your dreams
Watch me

[Chorus]
As the years go by
I crawl through your veins
As the years go by
We sing

[Verse 2]
Watching the holy ghost
Watch you
In a battle you may have won
By mistake

[Chorus]
As the years go by
I crawl through your veins
As the years go by
I crawl through your head
As the years go by
Weaving
[Bridge]
Oooh

[Chorus ]
As the years go by
Weaving
And the years go by
We crawl through our veins
And the years go by
We crawl through our heads
Weaving",2166,82402
Angel of Death,rock,Slayer,1986,"[Produced by Rick Rubin and Slayer]

[Intro]
Ah!

[Verse 1]
Auschwitz, the meaning of pain
The way that I want you to die
Slow death, immense decay
Showers that cleanse you of your life
Forced in, like cattle you run
Stripped of
Your life's worth
Human mice, for the angel of death
Four hundred thousand more to die

[Chorus 1]
Angel of death
Monarch to the kingdom of the dead

[Verse 2]
Sadistic, surgeon of demise
Sadist of the noblest blood
Destroying, without mercy
To benefit the Aryan race
Surgery, with no anesthesia
Feel the knife pierce you intensely
Inferior, no use to mankind
Strapped down, screaming out to die
[Chorus 2]
Angel of death
Monarch to the kingdom of the dead
Infamous butcher
Angel of death

[Verse 3]
Pumped with fluid, inside your brain
Pressure in your skull begins pushing through your eyes
Burning flesh drips away
Test of heat burns your skin, your mind starts to boil
Frigid cold cracks your limbs
How long can you last
In this frozen water burial?
Sewn together, joining heads
Just a matter of time
'Till you rip yourselves apart

[Bridge 1]
Millions laid out in their
Crowded tombs
Sickening ways to achieve
The Holocaust

[Verse 4]
Seas of blood, bury life
Smell your death as it burns
Deep inside of you
Abacinate, eyes that bleed
Praying for the end of
Your wide awake nightmare
Wings of pain, reach out for you
His face of death staring down
Your blood's running cold
Injecting cells, dying eyes
Feeding on the screams of
The mutants he's creating
[Bridge 2]
Pathetic harmless victims
Left to die
Rancid angel of death
Flying free

[Lead: King and Hanneman]

[Chorus 2]
Angel of death
Monarch to the kingdom of the dead
Infamous butcher
Angel of death
Angel of death",137497,1750
And Then There Was Darkness,rock,Jim Johnston,2017,"Last night I had a real bad dream
That you left me
Last night I had a real bad dream
That you left me
Yeah last night I had a real bad dream that you left me baby
You didn't have a single word to say, you just walked away
You just walked away
Sitting around waiting for the sun
Fall asleep and let the nightmare come
The fog rolls in, it's gonna block the sun
I've got enough hell for everyone
Everyone
I've got enough hell for
Everyone",1249,114631
Rude Remix,rock,MAGIC!,2014,"[Verse 1: Nasri]
Saturday morning jumped out of bed and put on my best suit
Got in my car and raced like a jet, all the way to you
Knocked on your door with heart in my hand
To ask you a question
Cause I know that you're an old-fashioned man, yeah, yeah

[Pre-Hook: Nasri]
Can I have your daughter for the rest of my life? say yes, say yes
Cause I need to know
You say I'll never get your blessing 'til the day I die
Tough luck, my friend, but the answer is no!

[Hook: Magic!]
Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway
Marry that girl
Marry her anyway
Marry that girl
Yeah, no matter what you say
Marry that girl
And we'll be a family
Why you gotta be so rude
[Verse 2: Kid Ink]
Why you gotta be so rude? (so rude)
Such a lady but you act like a fool
I’m feeling on your bad ass, but don’t get on your bad side
Backlash the Patron, too many shots done backfired
Now I ain’t ever saying sip slow but you gotta know
When them other bitches flirting, girl, I been so rude
I been so rude, don’t look so confused
It’s you that I choose, ah

[Pre-Hook: Magic!]
Can I have your daughter for the rest of my life? say yes, say yes
Cause I need to know
You say I'll never get your blessing 'til the day I die
Tough luck, my friend, but the answer is no!

[Hook: Magic!]
Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway
Marry that girl
Marry her anyway
Marry that girl
Yeah, no matter what you say
Marry that girl
And we'll be a family
Why you gotta be so rude
[Verse 3: Ty Dolla $ign]
Why you gotta be so damn bad girl?
Why you gotta have so much ass girl?
Ay, I’mma let you lick the rapper
I like it when you tell me “faster, faster”
I give you all of me, give me all of you
Show me what it do (what it do)
Ay, I’mma rock that boat (that boat)
Row, row, row (row, row, row)
Then I gotta go (then I gotta go)
Hey (sorry)

[Pre-Hook: Magic] + [Hook: Magic!]
[Pre-Hook: Magic!]
Can I have your daughter for the rest of my life? say yes, say yes
Cause I need to know
You say I'll never get your blessing 'til the day I die
Tough luck, my friend, but the answer is no!

[Hook: Magic!]
Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway
Marry that girl
Marry her anyway
Marry that girl
Yeah, no matter what you say
Marry that girl
And we'll be a family
Why you gotta be so rude",25511,11204
Heavy Is The Crown,rock,Daughtry,2021,"[Verse 1]
Never needed any reason
To find deliverance
Like a cancer running through my veins, oh
That's never going to give in

[Pre Chorus]
See them march like lambs to the slaughter
Toy soldiers lined up on the altar
I was never meant to drink that water
And they'll remember me when I'm underground

[Chorus]
Heavy is the crown
Never falter, never let them bleed you out
I'll be still standing when thеy try to bring my castle down
I'll never bow down, hеavy is the crown

[Post Chorus]
Heavy is the crown, heavy is the crown oh
Heavy is the crown
[Verse 2]
With the weight of the world crashing
Pushing you closer to the edge
You find a way to get a little bit stronger
To fight off the demons, yeah

[Pre Chorus]
See them march like lambs to the slaughter
Toy soldiers lined up on the altar
I'll rise, hell or high water
And you'll remember me when I'm underground

[Chorus]
Heavy is the crown
Never falter, never let them bleed you out
I'll be still standing when they try to bring my castle down
I'll never bow down, heavy is the crown

[Bridge]
Everything will fade away
Nothing in this world is meant to stay
Heavy is the crown, heavy is the crown oh
Heavy is the crown, heavy is the crown oh
Heavy is the crown, heavy is the crown oh
Heavy is the crown
[Chorus]
Heavy is the crown
Never falter, never let them bleed you out
I'll be still standing when they try to bring my castle down
I'll never bow down, heavy is the crown

[Outro]
Heavy is the crown, heavy is the crown oh (Heavy is the crown)
Heavy is the crown, heavy is the crown oh
Heavy is the crown, heavy is the crown oh (Heavy is the crown)
Heavy is the crown, heavy is the crown oh
Heavy is the crown, heavy is the crown oh
Heavy is the crown, heavy is the crown",3490,59655
Mercy,rock,Hurts,2013,"[Verse 1]
Lead me in chains
Strip me of shame
Caress me with pain
Cos I'm down on my knees
And I'm begging you please as you say

[Chorus]
Don't cry mercy
There's too much pain to come
Don't cry, mercy
M.E.R.C.Y

[Verse 2]
Fill me with rage
Bleed me dry
Feed me your hate
In the echoing silence
I shiver each time that you say

[Chorus]
Don't cry mercy
There's too much pain to come
Don't cry, mercy
M.E.R.C.Y
[Bridge]
M.E.R.C.Y
M.E.R.C.Y
M.E.R.C.Y
M.E.R.C.Y

[Chorus]
Don't cry mercy
There's too much pain to come
Don't cry, mercy
M.E.R.C.Y",6957,35528
Fat Fuck,rock,CKY,2001,"[Verse 1]
I like cheese but I can't digest the shit
I'm on the loo in the middle of Washington
These are some of the things
I can't eat:
It's
Yogurt, milk, and cheese
That makes me shit
I cannot not, not, not, have nothing yo
But when I eat the dairy
My bowels do flow
Uh oh
I think I shit myself
I had some ice cream man

[Bridge] X 4
He cannot digest the lactose
These are just the facts

[Intelligible voice]",1532,101798
I Wish You Love,rock,Sam Cooke,1963,"I wish you bluebirds in the spring
To give your heart a song to sing
And then a kiss oh but more than this
I wish you love

And in July a lemonade to cool you in some leafy glade
I wish you health oh and more than wealth. I wish you love
My breaking heart and I agree that you and I will never be
So with my best my very best I am setting you free
Oh honey

I wish you shelter from the storm
A cozy fire to keep you warm
Oh but most of all I wish you love
But most of all when snowflakes fall I wish you love
But most of all when snowflakes fall I wish you love",23964,11981
Legions,rock,Antimatter,2005,"Stony and grey is the whore
And long are the days in the morgue
Where god is a wall
Where god is a wall to look upon

Legions and hordes
The seas have been torn
And buildings remain where they fall
And I solemnly walk
Through legions and hordes
A dark mass of infidels

Long is the howl at the end
A cry from the tail echoing
And fools reverberate
And fools reverberate and carry on...

What have they done to themselves?
Look what have they done to themselves

If you don't learn to leave this thing alone
You'll never get to see the sun again
You won't come out on top
The seed is sown",3320,61755
Wonder of Wonders,rock,Tim Christensen,2008,"[Verse 1]
Into my arms as a stranger
They opened wide just for you
And I realized there's a danger
In finally falling for you
Tell me it's already over
Something I don't understand
Cause I know that when it's over
I'm finally back in command

[Chorus]
Call me the wonder of wonders
And I'll realize who you are
Tonight I will follow my dreams for tomorrow
With eyes open wide, here we are

[Verse 2]
Into the arms of illusion
I must be out of my mind
And if there's an easy solution
It keeps getting harder to find
I know we ain't getting closer
That's why I don't understand
That you need for this to be over
I'm finally back in command
[Chorus]
Call me the wonder of wonders
And I'll realize who you are
Tonight I will follow my dreams for tomorrow
With eyes open wide, here we are

[Instrumental solo]

[Strings solo]

[Alternative Chorus]
Call me the wonder of wonders
And I'll realize who you are
What if I really don't feel like
A star?
Call me the wonder of wonders
And I'll realize what I miss

[Outro]
Tonight I will follow my dreams for tomorrow
With eyes open wide as it is",1785,93023
